| file | runtime_surface | classification | related_issue_ids | migration_target | revisit_lane | reason |
| --- | --- | --- | --- | --- | --- | --- |
| apps/desktop/src/main.ts | addEventListener | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/main.ts | document | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/main.ts | documentElement | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/main.ts | location | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/main.ts | window | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/theme/index.ts | document | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/desktop/src/theme/index.ts | documentElement | app-runtime-integration | D-07, E-05 | desktop app shell may own browser WebView bootstrap; Tauri APIs remain restricted to desktop adapters | M6 | Existing desktop WebView DOM/bootstrap access is classified separately from Tauri adapter access. |
| apps/web-demo/src/api/auth/auth.api.ts | setTimeout | app-runtime-integration | C-02, C-05, D-10 | keep mock/API timing behavior app-owned; do not move runtime into contracts/core | M5/M7 | Existing app API runtime access is classified as app integration. |
| apps/web-demo/src/api/system/system.api.ts | setTimeout | app-runtime-integration | C-02, C-05, D-10 | keep mock/API timing behavior app-owned; do not move runtime into contracts/core | M5/M7 | Existing app API runtime access is classified as app integration. |
| apps/web-demo/src/App.vue | document | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/App.vue | documentElement | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/App.vue | location | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/App.vue | window | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/constants/http.ts | import.meta.env | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/constants/mock.ts | import.meta.env | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/constants/router.ts | import.meta.env | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/constants/size.ts | import.meta.env | web-app-bootstrap | C-02, C-05 | keep app bootstrap/router/env integration app-owned; move reusable primitives only in approved lanes | M4/M5 | Existing app bootstrap/router runtime access is classified as app shell behavior. |
| apps/web-demo/src/hooks/layout/useAdminTabs.ts | addEventListener | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useAdminTabs.ts | document | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useAdminTabs.ts | import.meta.env | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useAdminTabs.ts | removeEventListener | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useAdminTabs.ts | setTimeout | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLayoutRuntime.ts | cancelAnimationFrame | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLayoutRuntime.ts | requestAnimationFrame | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLayoutRuntime.ts | window | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLoading.ts | addEventListener | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLoading.ts | document | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLoading.ts | documentElement | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLoading.ts | setTimeout | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useLoading.ts | window | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useNprogress.ts | clearInterval | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useNprogress.ts | clearTimeout | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useNprogress.ts | document | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useNprogress.ts | setInterval | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/layout/useNprogress.ts | setTimeout | web-app-layout | C-02, C-05 | keep layout integration app-owned; extract reusable platform primitive only with owner approval | M4/M5 | Existing layout/browser integration is app-local runtime behavior. |
| apps/web-demo/src/hooks/modules/useAuth.ts | console | app-runtime-integration | C-02, C-05 | keep app-specific hook integration local unless M4 approves package extraction | M4 | Existing app hook runtime access is classified as app integration. |
| apps/web-demo/src/hooks/modules/useAuth.ts | window | app-runtime-integration | C-02, C-05 | keep app-specific hook integration local unless M4 approves package extraction | M4 | Existing app hook runtime access is classified as app integration. |
| apps/web-demo/src/hooks/modules/useDateUtils.ts | console | app-runtime-integration | C-02, C-05 | keep app-specific hook integration local unless M4 approves package extraction | M4 | Existing app hook runtime access is classified as app integration. |
| apps/web-demo/src/hooks/modules/useLocale.ts | console | app-runtime-integration | C-02, C-05 | keep app-specific hook integration local unless M4 approves package extraction | M4 | Existing app hook runtime access is classified as app integration. |
| apps/web-demo/src/hooks/modules/usePermissionRoutes.ts | clearTimeout | app-runtime-integration | C-02, C-05 | keep app-specific hook integration local unless M4 approves package extraction | M4 | Existing app hook runtime access is classified as app integration. |
