docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:5:Summary: 71 rows; 6 compatibility facades; 23 migration candidates; 20 app adapters/plugin integrations; 1 owner-decision candidate; 15 test-only rows.
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/app-local-shared-candidates.md:48:| apps/web-demo/src/utils/safeStorage/crypto.ts | safeStorage | Web Crypto plus crypto-es helper | app-local-shared-candidate | needs-owner-decision | true | false | true | false | @ccd/contracts type-only, app adapter or approved web-library | owner decision required | high | M5 | B-07 | Do not move Web Crypto implementation into contracts/core. |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:9:| apps/desktop/src/plugins/index.ts | @ccd/desktop | import-from | primevue/config | production | approved-app-plugin-integration | app-plugin-integration | true | yes | apps/desktop plugin shell | keep; install PrimeVue through @ccd/vue-primevue-adapter config/services | C-06 | none |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:11:| apps/web-demo/src/hooks/layout/useAdminBreadcrumbs.ts | @ccd/web-demo | type-import-from | primevue/tieredmenu | production | approved-exact-app-allowlist | app-layout | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:12:| apps/web-demo/src/layouts/components/admin/AdminSidebarMenuCollapsed.tsx | @ccd/web-demo | import-from | primevue/tooltip | production | approved-exact-app-allowlist | app-layout | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:13:| apps/web-demo/src/layouts/components/admin/AdminSidebarMenuInline.tsx | @ccd/web-demo | import-from | primevue/tooltip | production | approved-exact-app-allowlist | app-layout | true | yes, exact only | apps/web-demo exact exception owner | keep exact allowlist and re-check during source lane | C-06 | M4/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:14:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | @primevue/icons/check | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:15:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | @primevue/icons/exclamationtriangle | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:16:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | @primevue/icons/infocircle | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:17:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | @primevue/icons/minus | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:18:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | @primevue/icons/timescircle | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:19:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | primevue/config | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
docs/ai-runs/20260531-104447-ccd-m4-primevue-app-local-classification/reports/primevue-boundary-inventory.md:20:| apps/web-demo/src/layouts/components/AppPrimeVueGlobals.vue | @ccd/web-demo | import-from | primevue/confirmpopup | production | approved-app-global-ui-shell | app-shell | true | yes | apps/web-demo app shell plus packages/vue-primevue-adapter services | keep as global Toast/Confirm/DynamicDialog shell until package service facade can own more integration | C-06 | M5/M7 |  |
